task_id,task_band,workflow,workflow_label,run_id,operator,time_to_demo_min,instant_demo_ok,time_to_robust_min,final_robust_ok,validation_on,loop_mode,llm_rounds,tool_calls,errors_top,notes
N07,L1,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,5.87,1,12.99,1,1,react,2,23,none,SYNTHETIC — replace with measured trials before submission
N07,L1,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,5.18,1,12.14,1,1,react,2,18,none,SYNTHETIC — replace with measured trials before submission
N08,L1,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,10.01,1,13.32,1,1,react,2,20,none,SYNTHETIC — replace with measured trials before submission
N08,L1,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,4.54,1,9.24,1,1,react,3,31,none,SYNTHETIC — replace with measured trials before submission
N09,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,12.76,1,22.6,1,1,react,7,46,none,SYNTHETIC — replace with measured trials before submission
N09,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,15.37,1,24.13,1,1,react,5,37,none,SYNTHETIC — replace with measured trials before submission
N10,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,17.52,0,41.99,1,1,react,4,20,none,SYNTHETIC — replace with measured trials before submission
N10,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,10.44,1,15.42,1,1,react,7,24,none,SYNTHETIC — replace with measured trials before submission
N11,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,11.88,1,15.66,1,1,react,4,39,none,SYNTHETIC — replace with measured trials before submission
N11,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,13.35,1,22.32,1,1,react,3,30,none,SYNTHETIC — replace with measured trials before submission
N12,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,10.63,1,19.2,1,1,react,7,33,none,SYNTHETIC — replace with measured trials before submission
N12,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,21.25,0,,0,1,react,5,26,stub_mismatch,SYNTHETIC — replace with measured trials before submission
N13,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,26.54,0,39.97,1,1,react,6,42,none,SYNTHETIC — replace with measured trials before submission
N13,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,7.36,1,11.51,1,1,react,7,40,none,SYNTHETIC — replace with measured trials before submission
N14,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,14.72,1,23.28,1,1,react,4,31,none,SYNTHETIC — replace with measured trials before submission
N14,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,9.45,1,,0,1,react,5,36,stub_mismatch,SYNTHETIC — replace with measured trials before submission
N15,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,14.56,1,19.35,1,1,react,6,43,none,SYNTHETIC — replace with measured trials before submission
N15,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,14.25,1,20.05,1,1,react,4,32,none,SYNTHETIC — replace with measured trials before submission
N16,L2,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,16.15,1,,0,1,react,6,37,stub_mismatch,SYNTHETIC — replace with measured trials before submission
N16,L2,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,11.82,1,20.64,1,1,react,3,32,none,SYNTHETIC — replace with measured trials before submission
N17,L3,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,24.99,1,33.5,1,1,react,4,14,none,SYNTHETIC — replace with measured trials before submission
N17,L3,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,13.76,1,20.48,1,1,react,2,34,none,SYNTHETIC — replace with measured trials before submission
N18,L3,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,15.27,1,19.66,1,1,react,4,31,none,SYNTHETIC — replace with measured trials before submission
N18,L3,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,21.77,1,32.97,1,1,react,3,23,none,SYNTHETIC — replace with measured trials before submission
N19,L3,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,18.99,1,26.04,1,1,react,3,29,none,SYNTHETIC — replace with measured trials before submission
N19,L3,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,25.37,0,45.96,1,1,react,7,25,none,SYNTHETIC — replace with measured trials before submission
N20,L3,W5_react,W5 ReAct tool loop,1,synthetic_operator_A,19.39,1,23.67,1,1,react,7,27,none,SYNTHETIC — replace with measured trials before submission
N20,L3,W5_react,W5 ReAct tool loop,2,synthetic_operator_A,20.34,0,51.14,1,1,react,4,36,none,SYNTHETIC — replace with measured trials before submission
